sample_id,original_audio,label,label_id,source,genre,generator,audio_path,track_id,description,path_in_dataset,file_exists
sample_00000,"10,000 People Chanting, ""I'm an Individual"" - Nihilore",REAL,0,FMA,Electronic,,data/raw/FMA/selected_30s/140/140932.mp3,140932,,,True
sample_00001,1984 - Punk Rock Opera,REAL,0,FMA,Rock,,data/raw/FMA/selected_30s/149/149410.mp3,149410,,,True
sample_00002,2 (Wasn't There) - Isle of Pine,REAL,0,FMA,Rock,,data/raw/FMA/selected_30s/066/066449.mp3,66449,,,True
sample_00003,2Much (Andy Spinelli & Alex Sánchez House Edit) - Tentacles,REAL,0,FMA,Electronic,,data/raw/FMA/selected_30s/114/114244.mp3,114244,,,True
sample_00004,3 am West End - statusq,REAL,0,FMA,Electronic,,data/raw/FMA/selected_30s/112/112378.mp3,112378,,,True
sample_00005,5 (Lexington) - Isle of Pine,REAL,0,FMA,Rock,,data/raw/FMA/selected_30s/066/066445.mp3,66445,,,True
sample_00006,"50,000 Volts of Democracy mp3 - Legally Blind",REAL,0,FMA,Rock,,data/raw/FMA/selected_30s/130/130401.mp3,130401,,,True
sample_00007,"6 (Coat of Arms, Close) - Isle of Pine",REAL,0,FMA,Rock,,data/raw/FMA/selected_30s/066/066446.mp3,66446,,,True
sample_00008,A Dark Blue Arc - Pipe Choir,REAL,0,FMA,Rock,,data/raw/FMA/selected_30s/129/129963.mp3,129963,,,True
sample_00009,A Different World By Night - Nihilore,REAL,0,FMA,Electronic,,data/raw/FMA/selected_30s/140/140926.mp3,140926,,,True
sample_00010,A Lady In Red With A Plan To Steal - Did You Just Hex Me?,REAL,0,FMA,Rock,,data/raw/FMA/selected_30s/074/074910.mp3,74910,,,True
sample_00011,Acoustic Unleashed - Remain,REAL,0,FMA,Electronic,,data/raw/FMA/selected_30s/141/141875.mp3,141875,,,True
sample_00012,Ad Astra - P C III,REAL,0,FMA,Electronic,,data/raw/FMA/selected_30s/111/111819.mp3,111819,,,True
sample_00013,Agora - Malaventura,REAL,0,FMA,Pop,,data/raw/FMA/selected_30s/113/113019.mp3,113019,,,True
sample_00014,All of Us - Eric Skiff,REAL,0,FMA,Electronic,,data/raw/FMA/selected_30s/047/047071.mp3,47071,,,True
sample_00015,Ancient Whispers I - P C III,REAL,0,FMA,Electronic,,data/raw/FMA/selected_30s/111/111821.mp3,111821,,,True
sample_00016,And Over The Rainbows - milky-chu,REAL,0,FMA,Electronic,,data/raw/FMA/selected_30s/144/144723.mp3,144723,,,True
sample_00017,Apparitions Under Glass - Sarin,REAL,0,FMA,Rock,,data/raw/FMA/selected_30s/113/113526.mp3,113526,,,True
sample_00018,"Aquamarine, My Distant Blue - Nihilore",REAL,0,FMA,Electronic,,data/raw/FMA/selected_30s/134/134150.mp3,134150,,,True
sample_00019,Artificial anxiety - Michett,REAL,0,FMA,Electronic,,data/raw/FMA/selected_30s/130/130129.mp3,130129,,,True
sample_00020,As Nihilism Gives Way To Existentialism - Nihilore,REAL,0,FMA,Electronic,,data/raw/FMA/selected_30s/134/134148.mp3,134148,,,True
sample_00021,Attention - Pete Prodoehl,REAL,0,FMA,Rock,,data/raw/FMA/selected_30s/118/118048.mp3,118048,,,True
sample_00022,Authenticity - Nihilore,REAL,0,FMA,Electronic,,data/raw/FMA/selected_30s/140/140924.mp3,140924,,,True
sample_00023,Autobahn - S-B-J,REAL,0,FMA,Electronic,,data/raw/FMA/selected_30s/137/137049.mp3,137049,,,True
sample_00024,"Autopsy - Oh Yeah, the Future",REAL,0,FMA,Pop,,data/raw/FMA/selected_30s/127/127294.mp3,127294,,,True
sample_00025,Bergwald Bergwald - Every Now and Every Then,REAL,0,FMA,Rock,,data/raw/FMA/selected_30s/138/138061.mp3,138061,,,True
sample_00026,Better Run Away From Me - Miss Derringer,REAL,0,FMA,Rock,,data/raw/FMA/selected_30s/003/003956.mp3,3956,,,True
sample_00027,Beyond Luxury - Mors Ontologica,REAL,0,FMA,Rock,,data/raw/FMA/selected_30s/004/004003.mp3,4003,,,True
sample_00028,Bizzy - The Tleilaxu Music Machine,REAL,0,FMA,Electronic,,data/raw/FMA/selected_30s/001/001881.mp3,1881,,,True
